DATE,CS_Index_Value,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,Unemployment_Rate,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop
2003-01-01,128.461,2003,1,50462.0,185656300.0,4.0,182.6,5.8,62.5,144.4,1.24,79.6,111278,68350,25.93,12.1
2003-02-01,129.356,2003,2,50573.333333333336,185830200.0,4.5,183.6,5.9,62.5,145.2,1.26,79.6,111278,68350,25.93,12.1
2003-03-01,130.148,2003,3,50684.666666666664,186120800.0,4.1,183.9,5.9,62.4,145.2,1.25,79.6,111278,68350,25.93,12.1
2003-04-01,130.884,2003,4,50796.0,186475100.0,4.1,183.2,6.0,62.4,145.9,1.26,79.6,111278,68350,25.93,12.1
2003-05-01,131.735,2003,5,51034.666666666664,186696400.0,3.9,182.9,6.1,62.3,145.8,1.26,79.6,111278,68350,25.93,12.1
2003-06-01,132.649,2003,6,51273.333333333336,186889300.0,3.5,183.1,6.3,62.3,146.1,1.22,79.6,111278,68350,25.93,12.1
2003-07-01,133.77700000000002,2003,7,51512.0,187164200.0,3.6,183.7,6.2,62.1,147.0,1.01,79.6,111278,68350,25.93,12.1
2003-08-01,134.968,2003,8,51670.0,187376200.0,3.5,184.5,6.1,62.1,147.2,1.03,79.6,111278,68350,25.93,12.1
2003-09-01,136.29399999999998,2003,9,51828.0,187554700.0,3.8,185.1,6.1,62.0,149.0,1.01,79.6,111278,68350,25.93,12.1
2003-10-01,137.532,2003,10,51986.0,187713500.0,3.8,184.9,6.0,62.1,149.6,1.01,79.6,111278,68350,25.93,12.1
2003-11-01,138.79399999999998,2003,11,52050.333333333336,187912300.0,4.1,185.0,5.8,62.3,150.2,1.0,79.6,111278,68350,25.93,12.1
2003-12-01,140.18,2003,12,52114.666666666664,188027700.0,4.0,185.5,5.7,62.2,149.7,0.98,79.6,111278,68350,25.93,12.1
2004-01-01,141.64600000000002,2004,1,52179.0,187570900.0,3.8,186.3,5.7,62.3,150.0,1.0,79.8,112000,68250,27.201,12.1
2004-02-01,143.191,2004,2,52275.666666666664,187833100.0,3.7,186.7,5.6,62.3,153.4,1.01,79.8,112000,68250,27.201,12.1
2004-03-01,145.058,2004,3,52372.333333333336,188105800.0,3.6,187.1,5.8,62.2,156.5,1.0,79.8,112000,68250,27.201,12.1
2004-04-01,146.593,2004,4,52469.0,188337000.0,4.0,187.4,5.6,62.3,160.1,1.0,79.8,112000,68250,27.201,12.1
2004-05-01,148.186,2004,5,52591.0,188537500.0,3.8,188.2,5.6,62.3,162.7,1.0,79.8,112000,68250,27.201,12.1
2004-06-01,149.852,2004,6,52713.0,188689200.0,3.9,188.9,5.6,62.4,162.0,1.03,79.8,112000,68250,27.201,12.1
2004-07-01,151.338,2004,7,52835.0,188781700.0,4.5,189.1,5.5,62.5,162.2,1.26,79.8,112000,68250,27.201,12.1
2004-08-01,152.635,2004,8,52970.666666666664,189026900.0,4.3,189.2,5.4,62.4,165.9,1.43,79.8,112000,68250,27.201,12.1
2004-09-01,154.179,2004,9,53106.333333333336,189274700.0,4.1,189.8,5.4,62.3,167.2,1.61,79.8,112000,68250,27.201,12.1
2004-10-01,155.752,2004,10,53242.0,189468100.0,3.9,190.8,5.5,62.3,165.9,1.76,79.8,112000,68250,27.201,12.1
2004-11-01,157.528,2004,11,53401.0,189644600.0,4.3,191.7,5.4,62.5,165.5,1.93,79.8,112000,68250,27.201,12.1
2004-12-01,159.33100000000002,2004,12,53560.0,189846300.0,4.1,191.7,5.4,62.4,166.3,2.16,79.8,112000,68250,27.201,12.1
2005-01-01,161.289,2005,1,53719.0,190032500.0,4.4,191.6,5.3,62.4,168.6,2.28,79.9,113343,69310,27.651,12.1
2005-02-01,163.346,2005,2,53768.666666666664,190203400.0,4.3,192.4,5.4,62.4,170.4,2.5,79.9,113343,69310,27.651,12.1
2005-03-01,165.81400000000002,2005,3,53818.333333333336,190426700.0,4.1,193.1,5.2,62.4,170.0,2.63,79.9,113343,69310,27.651,12.1
2005-04-01,167.503,2005,4,53868.0,190492600.0,4.3,193.7,5.2,62.7,170.0,2.79,79.9,113343,69310,27.651,12.1
2005-05-01,169.352,2005,5,53963.0,190680900.0,4.2,193.6,5.1,62.8,168.1,3.0,79.9,113343,69310,27.651,12.1
2005-06-01,171.192,2005,6,54058.0,190897900.0,4.3,193.7,5.0,62.7,167.8,3.04,79.9,113343,69310,27.651,12.1
2005-07-01,172.861,2005,7,54153.0,191053400.0,4.2,194.9,5.0,62.8,167.2,3.26,79.9,113343,69310,27.651,12.1
2005-08-01,174.44299999999998,2005,8,54207.666666666664,191192200.0,4.5,196.1,4.9,62.9,165.9,3.5,79.9,113343,69310,27.651,12.1
2005-09-01,176.43900000000002,2005,9,54262.333333333336,191471300.0,4.7,198.8,5.0,62.8,168.9,3.62,79.9,113343,69310,27.651,12.1
2005-10-01,178.028,2005,10,54317.0,191698200.0,4.5,199.1,5.0,62.8,171.6,3.78,79.9,113343,69310,27.651,12.1
2005-11-01,179.68200000000002,2005,11,54520.333333333336,191990500.0,5.0,198.1,5.0,62.7,172.7,4.0,79.9,113343,69310,27.651,12.1
2005-12-01,180.911,2005,12,54723.666666666664,192184500.0,4.9,198.1,4.9,62.8,173.5,4.16,79.9,113343,69310,27.651,12.1
2006-01-01,182.321,2006,1,54927.0,192326200.0,5.3,199.3,4.7,62.9,177.2,4.29,80.1,114384,70080,28.604,12.2
2006-02-01,183.288,2006,2,54933.0,192509300.0,6.1,199.4,4.8,63.0,177.7,4.49,80.1,114384,70080,28.604,12.2
2006-03-01,184.365,2006,3,54939.0,192617700.0,5.9,199.7,4.7,63.1,178.3,4.59,80.1,114384,70080,28.604,12.2
2006-04-01,184.329,2006,4,54945.0,192789000.0,6.3,200.7,4.7,63.0,179.0,4.79,80.1,114384,70080,28.604,12.2
2006-05-01,184.155,2006,5,54925.333333333336,192942400.0,6.2,201.3,4.6,63.1,179.9,4.94,80.1,114384,70080,28.604,12.2
2006-06-01,183.507,2006,6,54905.666666666664,193180200.0,6.3,201.8,4.6,63.1,180.7,4.99,80.1,114384,70080,28.604,12.2
2006-07-01,183.066,2006,7,54886.0,193407400.0,7.3,202.9,4.7,63.0,182.3,5.24,80.1,114384,70080,28.604,12.2
2006-08-01,182.593,2006,8,54996.0,193520600.0,6.7,203.8,4.7,63.1,182.6,5.25,80.1,114384,70080,28.604,12.2
2006-09-01,182.797,2006,9,55106.0,193582900.0,6.7,202.8,4.5,63.1,183.3,5.25,80.1,114384,70080,28.604,12.2
2006-10-01,183.197,2006,10,55216.0,193707300.0,7.3,201.9,4.4,63.3,182.3,5.25,80.1,114384,70080,28.604,12.2
2006-11-01,183.607,2006,11,55230.666666666664,193923200.0,6.6,202.0,4.5,63.3,179.8,5.25,80.1,114384,70080,28.604,12.2
2006-12-01,184.139,2006,12,55245.333333333336,194097000.0,6.5,203.1,4.4,63.4,179.8,5.24,80.1,114384,70080,28.604,12.2
2007-01-01,184.517,2007,1,55260.0,194826200.0,7.2,203.437,4.6,63.3,181.1,5.25,80.3,116011,71210,29.512,12.3
2007-02-01,184.599,2007,2,55331.333333333336,195052800.0,7.9,204.226,4.5,63.3,181.5,5.26,80.3,116011,71210,29.512,12.3
2007-03-01,184.15,2007,3,55402.666666666664,195156300.0,7.9,205.288,4.4,63.3,182.5,5.26,80.3,116011,71210,29.512,12.3
2007-04-01,183.01,2007,4,55474.0,195251800.0,7.4,205.904,4.5,63.0,183.7,5.25,80.3,116011,71210,29.512,12.3
2007-05-01,181.601,2007,5,55532.333333333336,195410500.0,7.8,206.755,4.4,63.0,184.0,5.25,80.3,116011,71210,29.512,12.3
2007-06-01,180.253,2007,6,55590.666666666664,195660700.0,8.2,207.234,4.6,63.0,184.0,5.25,80.3,116011,71210,29.512,12.3
2007-07-01,179.11,2007,7,55649.0,195829000.0,8.3,207.603,4.7,62.9,184.2,5.26,80.3,116011,71210,29.512,12.3
2007-08-01,178.116,2007,8,55718.333333333336,195965100.0,9.2,207.667,4.6,62.7,183.9,5.02,80.3,116011,71210,29.512,12.3
2007-09-01,177.55700000000002,2007,9,55787.666666666664,196063100.0,9.2,208.547,4.7,62.9,183.4,4.94,80.3,116011,71210,29.512,12.3
2007-10-01,176.623,2007,10,55857.0,196106900.0,8.5,209.19,4.7,62.7,183.0,4.76,80.3,116011,71210,29.512,12.3
2007-11-01,175.146,2007,11,55737.0,196172600.0,9.4,210.834,4.7,62.9,183.3,4.49,80.3,116011,71210,29.512,12.3
2007-12-01,174.34099999999998,2007,12,55617.0,196413400.0,9.6,211.445,5.0,62.7,183.5,4.24,80.3,116011,71210,29.512,12.3
2008-01-01,173.132,2008,1,55497.0,196057800.0,9.3,212.174,5.0,62.9,184.3,3.94,80.4,116783,68780,29.876,12.5
2008-02-01,171.54,2008,2,55566.333333333336,196232300.0,9.7,212.687,4.9,62.8,185.7,2.98,80.4,116783,68780,29.876,12.5
2008-03-01,170.05200000000002,2008,3,55635.666666666664,196371800.0,10.5,213.448,5.1,62.7,187.8,2.61,80.4,116783,68780,29.876,12.5
2008-04-01,168.33599999999998,2008,4,55705.0,196222100.0,10.3,213.942,5.0,62.7,190.9,2.28,80.4,116783,68780,29.876,12.5
2008-05-01,166.657,2008,5,55562.666666666664,196448900.0,10.7,215.208,5.4,62.5,195.8,1.98,80.4,116783,68780,29.876,12.5
2008-06-01,165.016,2008,6,55420.333333333336,196513500.0,10.7,217.463,5.6,62.4,200.4,2.0,80.4,116783,68780,29.876,12.5
2008-07-01,163.565,2008,7,55278.0,196570200.0,10.5,219.016,5.8,62.2,203.4,2.01,80.4,116783,68780,29.876,12.5
2008-08-01,161.987,2008,8,54832.333333333336,196694100.0,11.3,218.69,6.1,62.0,206.5,2.0,80.4,116783,68780,29.876,12.5
2008-09-01,160.30700000000002,2008,9,54386.666666666664,196842100.0,10.9,218.877,6.1,61.9,206.3,1.81,80.4,116783,68780,29.876,12.5
2008-10-01,158.326,2008,10,53941.0,196976000.0,11.6,216.995,6.5,61.7,201.8,0.97,80.4,116783,68780,29.876,12.5
2008-11-01,156.141,2008,11,53701.0,197137900.0,11.4,213.153,6.8,61.4,199.6,0.39,80.4,116783,68780,29.876,12.5
2008-12-01,153.618,2008,12,53461.0,197422000.0,11.2,211.398,7.3,61.0,194.8,0.16,80.4,116783,68780,29.876,12.5
2009-01-01,151.506,2009,1,53221.0,197055100.0,12.2,211.933,7.8,60.6,193.3,0.15,80.6,117181,68340,32.883,12.7
2009-02-01,150.014,2009,2,53153.0,197278900.0,10.5,212.705,8.3,60.3,191.2,0.22,80.6,117181,68340,32.883,12.7
2009-03-01,148.66,2009,3,53085.0,197521500.0,11.0,212.495,8.7,59.9,190.2,0.18,80.6,117181,68340,32.883,12.7
2009-04-01,147.94899999999998,2009,4,53017.0,197851900.0,10.7,212.709,9.0,59.8,188.1,0.15,80.6,117181,68340,32.883,12.7
2009-05-01,147.69299999999998,2009,5,53038.333333333336,197949000.0,9.3,213.022,9.4,59.6,186.9,0.18,80.6,117181,68340,32.883,12.7
2009-06-01,148.088,2009,6,53059.666666666664,197603500.0,8.5,214.79,9.5,59.4,187.1,0.21,80.6,117181,68340,32.883,12.7
2009-07-01,148.408,2009,7,53081.0,197703700.0,7.9,214.726,9.5,59.3,187.6,0.16,80.6,117181,68340,32.883,12.7
2009-08-01,148.27700000000002,2009,8,53231.0,198053800.0,7.5,215.445,9.6,59.1,188.1,0.16,80.6,117181,68340,32.883,12.7
2009-09-01,148.025,2009,9,53381.0,198373100.0,7.8,215.861,9.8,58.7,189.3,0.15,80.6,117181,68340,32.883,12.7
2009-10-01,147.85,2009,10,53531.0,198662200.0,7.4,216.509,10.0,58.5,189.7,0.12,80.6,117181,68340,32.883,12.7
2009-11-01,148.136,2009,11,53581.666666666664,198710100.0,7.6,217.234,9.9,58.6,189.2,0.12,80.6,117181,68340,32.883,12.7
2009-12-01,147.931,2009,12,53632.333333333336,198768500.0,8.0,217.347,9.9,58.3,189.4,0.12,80.6,117181,68340,32.883,12.7
2010-01-01,147.39700000000002,2010,1,53683.0,198240300.0,8.1,217.488,9.8,58.5,190.3,0.11,80.8,117538,66730,32.669,12.8
2010-02-01,145.632,2010,2,53822.0,198425700.0,8.3,217.281,9.8,58.5,192.2,0.13,80.8,117538,66730,32.669,12.8
2010-03-01,145.858,2010,3,53961.0,198647800.0,7.1,217.353,9.9,58.5,193.7,0.16,80.8,117538,66730,32.669,12.8
2010-04-01,146.401,2010,4,54100.0,198998800.0,6.2,217.403,9.9,58.7,196.5,0.2,80.8,117538,66730,32.669,12.8
2010-05-01,146.391,2010,5,54200.333333333336,199090300.0,9.3,217.29,9.6,58.6,198.9,0.2,80.8,117538,66730,32.669,12.8
2010-06-01,145.718,2010,6,54300.666666666664,198930400.0,8.3,217.199,9.4,58.5,197.2,0.18,80.8,117538,66730,32.669,12.8
2010-07-01,144.986,2010,7,54401.0,199012900.0,8.9,217.605,9.4,58.5,195.6,0.18,80.8,117538,66730,32.669,12.8
2010-08-01,143.911,2010,8,54457.0,199226100.0,8.8,217.923,9.5,58.6,194.1,0.19,80.8,117538,66730,32.669,12.8
2010-09-01,143.015,2010,9,54513.0,199528600.0,7.6,218.275,9.5,58.5,193.9,0.19,80.8,117538,66730,32.669,12.8
2010-10-01,142.526,2010,10,54569.0,199859400.0,8.2,219.035,9.4,58.3,193.8,0.19,80.8,117538,66730,32.669,12.8
2010-11-01,142.166,2010,11,54493.0,199982200.0,8.2,219.59,9.8,58.2,193.6,0.19,80.8,117538,66730,32.669,12.8
2010-12-01,142.053,2010,12,54417.0,200024900.0,7.0,220.472,9.3,58.3,194.2,0.18,80.8,117538,66730,32.669,12.8
2011-01-01,141.515,2011,1,54341.0,199131500.0,7.3,221.187,9.1,58.3,195.9,0.17,80.9,119927,65750,34.23,13.1
2011-02-01,140.342,2011,2,54430.666666666664,199339800.0,8.1,221.898,9.0,58.4,198.1,0.16,80.9,119927,65750,34.23,13.1
2011-03-01,139.974,2011,3,54520.333333333336,199547700.0,7.2,223.046,9.0,58.4,199.7,0.14,80.9,119927,65750,34.23,13.1
2011-04-01,140.006,2011,4,54610.0,199936500.0,6.7,224.093,9.1,58.4,201.1,0.1,80.9,119927,65750,34.23,13.1
2011-05-01,139.903,2011,5,54567.333333333336,200041100.0,6.6,224.806,9.0,58.3,201.6,0.09,80.9,119927,65750,34.23,13.1
2011-06-01,139.859,2011,6,54524.666666666664,199982500.0,6.6,224.806,9.1,58.2,201.9,0.09,80.9,119927,65750,34.23,13.1
2011-07-01,139.72799999999998,2011,7,54482.0,200101300.0,6.7,225.395,9.0,58.2,202.6,0.07,80.9,119927,65750,34.23,13.1
2011-08-01,139.306,2011,8,54647.666666666664,200136800.0,6.5,226.106,9.0,58.3,202.8,0.1,80.9,119927,65750,34.23,13.1
2011-09-01,138.664,2011,9,54813.333333333336,200258100.0,6.3,226.597,9.0,58.4,202.7,0.08,80.9,119927,65750,34.23,13.1
2011-10-01,137.947,2011,10,54979.0,200422700.0,6.0,226.75,8.8,58.4,202.7,0.07,80.9,119927,65750,34.23,13.1
2011-11-01,137.14600000000002,2011,11,55100.0,200327800.0,5.7,227.169,8.6,58.6,202.2,0.08,80.9,119927,65750,34.23,13.1
2011-12-01,136.668,2011,12,55221.0,200318000.0,5.3,227.223,8.5,58.6,202.2,0.07,80.9,119927,65750,34.23,13.1
2012-01-01,136.602,2012,1,55342.0,200968400.0,5.3,227.842,8.3,58.4,203.9,0.08,81.1,121084,65740,33.283,13.4
2012-02-01,136.526,2012,2,55391.333333333336,201096500.0,4.8,228.329,8.3,58.5,205.1,0.1,81.1,121084,65740,33.283,13.4
2012-03-01,137.89700000000002,2012,3,55440.666666666664,201250300.0,4.9,228.807,8.2,58.5,205.7,0.13,81.1,121084,65740,33.283,13.4
2012-04-01,139.148,2012,4,55490.0,201497500.0,4.9,229.187,8.2,58.4,206.3,0.14,81.1,121084,65740,33.283,13.4
2012-05-01,140.149,2012,5,55478.0,201521900.0,4.7,228.713,8.2,58.5,206.5,0.16,81.1,121084,65740,33.283,13.4
2012-06-01,141.02700000000002,2012,6,55466.0,201448600.0,4.8,228.524,8.2,58.6,206.6,0.16,81.1,121084,65740,33.283,13.4
2012-07-01,141.668,2012,7,55454.0,201481600.0,4.6,228.59,8.2,58.5,206.2,0.16,81.1,121084,65740,33.283,13.4
2012-08-01,142.278,2012,8,55437.0,201583600.0,4.6,229.918,8.1,58.4,205.5,0.13,81.1,121084,65740,33.283,13.4
2012-09-01,142.905,2012,9,55420.0,201607300.0,4.5,231.015,7.8,58.7,206.6,0.14,81.1,121084,65740,33.283,13.4
2012-10-01,143.595,2012,10,55403.0,201661400.0,4.9,231.638,7.8,58.8,205.5,0.16,81.1,121084,65740,33.283,13.4
2012-11-01,144.578,2012,11,55555.0,201710700.0,4.6,231.249,7.7,58.7,205.6,0.16,81.1,121084,65740,33.283,13.4
2012-12-01,145.494,2012,12,55707.0,201851400.0,4.5,231.221,7.9,58.7,206.4,0.16,81.1,121084,65740,33.283,13.4
2013-01-01,146.82,2013,1,55859.0,201720000.0,4.0,231.679,8.0,58.6,208.4,0.14,81.3,122459,68220,33.213,13.7
2013-02-01,147.77700000000002,2013,2,55877.333333333336,201879900.0,4.1,232.937,7.7,58.6,209.1,0.15,81.3,122459,68220,33.213,13.7
2013-03-01,149.957,2013,3,55895.666666666664,202024800.0,4.2,232.282,7.5,58.5,209.8,0.14,81.3,122459,68220,33.213,13.7
2013-04-01,151.514,2013,4,55914.0,202168700.0,4.4,231.797,7.6,58.6,210.7,0.15,81.3,122459,68220,33.213,13.7
2013-05-01,152.846,2013,5,56033.333333333336,202287800.0,4.6,231.893,7.5,58.6,209.5,0.11,81.3,122459,68220,33.213,13.7
2013-06-01,154.196,2013,6,56152.666666666664,202278100.0,4.1,232.445,7.5,58.6,208.8,0.09,81.3,122459,68220,33.213,13.7
